idx_candidate,x_refined,y_refined,second_deriv,curvature,third_deriv,slope,valid_minimum
238415,6388.509258669937,0.8404619775914525,3.086309848885948,125961719.86971658,790.7902093596485,-1298620.1997122653,True
238438,6388.794566353871,0.9134043989491561,12.838525141103423,524026177.91493326,-141.98805682446226,13474.171433606158,True
238477,6389.232086325025,0.8716999574686187,15.408693462842189,629018101.487199,71.51729307377286,-4711.185680674989,True
238503,6389.529359820142,0.9679446680809055,4.622045767279755,188700035.40257028,102.24576811610183,-74852.69425335406,True
238534,6389.904622726757,0.9213331462040305,4.381893813003737,178916585.2170038,-15.11320491488354,12309.430061764739,True
238536,6389.905059844081,0.9213492889339464,4.258937997126346,173896214.711496,-7.336713108606801,6325.632317150184,True
238570,6390.313877743155,0.849810357210674,13.422465200965641,548121284.9619446,-531.5166260083665,46134.89521352142,True
238651,6391.236844387008,0.8867300778826915,27.999026329425384,1143701662.8229554,-55.44929880970433,1105.9226101400218,True
238705,6391.955451261461,0.8589592001272851,25.292323666642805,1033370857.9427325,-189.18747947673089,4623.60407880402,True
238780,6393.082381782509,0.8116299784751553,23.92242953202709,977745634.6029004,-175.00512168375673,4780.0158683879645,True
238792,6393.278925092896,0.741580999068853,32.942177365080866,1346479065.3922555,-275.0923266317598,3962.321127360345,True
238855,6394.22827148229,0.8476964595702366,19.36100354080331,791596995.3612825,-53.452989966000175,2228.5767028134806,True
238898,6394.883287031542,0.8768279405272,5.899288026939164,241248624.49775565,-148.53369763691938,66694.89864165419,True
238916,6395.134268414771,0.807461481077485,15.694019853112547,641849979.7771457,101.27564086603762,-6425.196081725949,True
238961,6395.823519513941,0.8884463249640895,15.696727661032,642099108.2110503,-110.24174652434104,6990.863378934677,True
239010,6396.565670317556,0.9415141758018587,3.880825467177787,158788058.07205805,136.65351175182292,-141750.68257667418,True
239027,6396.815845401737,0.9794698567356415,3.3041999604434817,135205394.01175177,6.680813300783271,-9559.436484361337,True
239059,6397.260796267218,0.9060823971937508,5.53859132552873,226666549.22659513,61.97483426387957,-31558.919383122287,True
239070,6397.4559941361085,0.9056140220851232,12.757701365111602,522140097.9437211,61.69205548603587,-5920.747193059515,True
