lambda_theo;lambda_obs;y_obs;delta;curvature;slope;velocity_ms
5702,3479;5702,3029;0,4117;-0,0450;2891297198;-619,2516;-2382,0099
5704,7337;5704,7262;0,7310;-0,0075;2894230012;397,3913;-412,6988
5705,4646;5705,4558;0,5309;-0,0088;4075633080;-44,7010;-481,4333
5709,9323;5709,9256;0,7184;-0,0067;3071168551;606,0898;-367,3925
5712,1316;5712,1274;0,3886;-0,0042;4983631761;-209,7895;-235,2092
5714,5491;5714,5338;0,8742;-0,0153;1503346723;934,3188;-819,1881
5717,8329;5717,8293;0,4491;-0,0036;4552770751;-31,6021;-207,4636
5720,8982;5720,8823;0,6976;-0,0159;2746192482;-197,9661;-849,6513
5731,7623;5731,7587;0,4554;-0,0036;4695165454;42,9919;-207,3062
5738,2277;5738,2367;0,6562;0,0090;2665038231;534,5561;453,7372
5741,8484;5741,8472;0,5619;-0,0012;4112456173;336,9949;-80,2883
5742,96;5742,9578;0,6934;-0,0022;2955403679;166,8463;-131,1232
5752,032;5752,0283;0,5132;-0,0037;4744445090;118,8474;-211,0399
5753,1227;5753,1181;0,3958;-0,0046;4779385832;-44,2669;-258,5100
5754,4026;5754,3985;0,6142;-0,0041;3663059502;441,4728;-230,3824
5759,2621;5759,2605;0,7918;-0,0016;2225251105;784,3976;-97,8727
5759,5412;5759,5271;0,7141;-0,0141;2665396042;492,1729;-748,9158
5760,3446;5760,3384;0,5457;-0,0062;4492028101;112,4772;-338,3849
5762,9922;5762,9883;0,3426;-0,0039;3671861624;-424,0518;-219,5082
5769,3228;5769,3232;0,7714;0,0004;2464007692;353,6838;6,0428
5775,0806;5775,0739;0,4332;-0,0067;4667442244;113,0711;-363,5761
5776,2244;5776,2119;0,8744;-0,0125;1828005005;-403,3401;-665,3851
5780,6001;5780,5981;0,4315;-0,0020;4901537619;743,6704;-120,9819
5783,8947;5783,8601;0,3366;-0,0346;3450202621;456,6041;-1810,5887
